From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
9,watered,899,Callichlamyslatifolia,liana,-0.251,-1.177,-0.926,NA,NA,NA,NA,28.4436,7_March_15,dry
9,watered,831,Davillakunthii,liana,-0.967,-2.343,-1.376,NA,NA,NA,NA,22.05,11_March_15,dry
9,watered,850,Davillakunthii,liana,-0.673,-2.487,-1.814,NA,NA,NA,NA,24.0924,9_March_15,dry
9,watered,882,Doliocarpusmajor,liana,-0.832,-1.966,-1.134,NA,NA,NA,NA,30.264,6_March_15,dry
9,watered,890,Doliocarpusmajor,liana,-0.339,-2.204,-1.865,NA,NA,NA,NA,21.4284,13_March_15,dry
9,watered,829,Machaeriummilleflorum,liana,-0.179,-1.27,-1.091,NA,NA,NA,NA,25.5576,3_March_15,dry
9,watered,880,Machaeriummilleflorum,liana,-0.156,-1.588,-1.432,NA,NA,NA,NA,26.046,3_March_15,dry
9,watered,819,Maripapanamensis,liana,-0.463,-0.748,-0.285,NA,NA,NA,NA,22.8048,3_March_15,dry
9,watered,883,Paulliniapinnata,liana,-0.381,-2.616,-2.235,NA,NA,NA,NA,25.7352,9_March_15,dry
9,watered,889,Paulliniapinnata,liana,-0.394,-2.593,-2.199,NA,NA,NA,NA,29.1984,11_March_15,dry
9,watered,838,Hieronymaalchorneoides,tree,-0.379,-0.881,-0.502,NA,NA,NA,NA,30.8856,7_March_15,dry
9,watered,854,Hieronymaalchorneoides,tree,-0.281,-1.544,-1.263,NA,NA,NA,NA,31.6404,6_March_15,dry
9,watered,858,Huracrepitans,tree,-0.308,-0.871,-0.563,NA,NA,NA,NA,41.6748,3_March_15,dry
9,watered,840,Terminaliaamazonia,tree,-0.464,-1.982,-1.518,NA,NA,NA,NA,25.0692,3_March_15,dry
9,watered,870,Terminaliaamazonia,tree,-0.548,-1.393,-0.845,NA,NA,NA,NA,25.6464,7_March_15,dry
